Database???Annual by Selected Cities
Region£ºShanghai
Year£ºLATEST20
Indicators,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
Investment by Enterprises for Real Estate Development(100 million yuan),3206.48,2819.59,2381.36,2253.83,1980.68,1462.07,1435.73,1307.53,1275.59,1246.86,1175.46,901.24,748.89,630.73,566.17,514.83,577.12,614.23,657.79,
Investment by Enterprises for Real Estate Development Residential Buildings(100 million yuan),1724.65,1615.51,1451.94,1465.52,1229.83,918.68,875.46,837.53,835.63,920.84,900.67,676.28,567.76,439.17,408.82,324.49,,,,
Investment by Enterprises for Real Estate Development Office Buildings(100 million yuan),534.77,377.18,262.85,227.90,224.46,187.93,194.08,157.51,124.29,102.18,83.24,66.67,33.52,26.22,57.47,81.26,,,,
Investment by Enterprises for Real Estate Development Houses for Business Use(100 million yuan),457.92,370.03,293.75,251.55,244.70,184.61,176.73,158.94,155.07,102.61,78.93,67.82,62.49,62.70,51.51,60.42,,,,
Floor Space of Buildings under Construction of Enterprises for Real Estate Development(10000 sq.m),14690.18,13516.58,13249.97,13033.17,11295.03,9949.45,10784.23,10766.72,10938.75,10462.39,9481.61,8267.51,6857.00,5986.18,5523.23,5083.18,5416.10,5343.20,6005.46,5074.80
Floor Space of Buildings Completed of Enterprises for Real Estate Development(10000 sq.m),2313.29,2254.44,2305.06,2384.33,1941.25,2104.98,2570.74,3380.12,3274.27,3095.74,3443.02,2491.84,1984.70,1791.36,1643.62,1468.62,1565.34,1465.98,1207.86,700.39
Floor Space of Residential Buildings Completed of Enterprises for Real Estate Development(10000 sq.m),1535.55,1417.41,1609.13,1645.47,1396.05,1508.81,1801.45,2752.45,2699.11,2739.91,3076.19,2139.99,1708.10,,,,,,,
Floor Space of Commercialized Buildings Sold(10000 sq.m),2084.66,2382.20,1898.46,1790.86,2060.96,3372.45,2339.29,3694.96,3025.40,3158.87,3300.82,2376.40,1971.50,1796.64,1557.87,1328.67,1141.91,686.45,573.50,567.66
Floor Space of Residential Buildings Sold(10000 sq.m),1780.91,2015.81,1592.63,1500.00,1690.82,2928.04,2007.48,3279.17,2615.49,2845.70,3059.53,2224.50,1846.40,1681.48,1445.87,1243.33,1056.77,617.02,528.56,536.31
Average Selling Price of Commercialized Buildings(yuan/sq.m),16787.00,16420.00,14061.37,14603.24,14464.00,12840.00,8195.00,8361.00,7196.00,6842.00,5855.00,5118.00,4134.00,3866.00,3565.00,3422.00,,,,
Average Selling Price of Commercialized Residential Buildings(yuan/sq.m),16415.00,16192.00,13869.88,13565.83,14290.00,12364.00,8115.00,8253.00,7039.00,6698.00,5761.21,4989.00,4007.00,3658.00,3326.00,3102.00,,,,
Land Space Purchased This Year of Enterprises for Real Estate Development(10000 sq.m),313.18,421.74,300.62,636.35,432.40,184.92,326.36,141.44,524.56,754.32,1038.76,1469.10,1010.30,739.03,592.66,335.13,,,,
Land Space Development of Enterprises for Real Estate Development(10000 sq.m),,,,,237.80,87.85,137.60,137.20,250.67,558.42,672.76,605.50,339.30,246.48,165.58,148.10,,,,
Data Sources£ºNational Bureau of Statistics
